Filename,Label,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
mixed12 (15).wav,mixed,-211.28636,178.73204,6.467444,25.298811,9.947009,2298.7886,14.4932912273142,13.443963239720771,0.5988105,0.076902755,0.0012851253,1699.3216175460836,3033.954932375241,0.026148302801724137,33.73890275410188,9.78459
mixed12 (16).wav,mixed,-174.53134,156.45885,-8.855149,18.39316,-5.058337,1960.4834,16.188282847415724,21.22966449064172,0.4338106,0.10024765,0.0027702823,2279.697893978402,3350.267674765821,0.041464619252873564,34.290784801695644,9.614387
mixed12 (17).wav,mixed,-220.15987,166.69832,0.3220256,25.167652,7.7236614,1305.6782,15.561671995276312,16.814219350972895,0.49938953,0.079171784,0.003872611,2151.1619084909153,3294.6756450649236,0.04003345007183908,14.735397704209422,8.726315
mixed12 (18).wav,mixed,-223.51556,101.786606,-9.229149,13.4660845,11.214705,3445.5442,15.461479011993294,22.480378421399468,0.50097704,0.07525508,0.0522236,4643.373840382271,4978.28496692811,0.12233409662356322,7.777188945211728,7.0013804
mixed12 (19).wav,mixed,-197.87218,142.35255,-5.8198023,6.466347,4.5247264,2389.915,16.576630382256294,27.286844022255476,0.3795682,0.09096254,0.034907013,3036.460502283275,3697.629643022466,0.07922503591954023,32.98947652736732,10.708494
mixed12 (2).wav,mixed,-215.92545,145.6806,-4.5798626,26.021057,8.759621,2202.0486,16.392151379829226,18.20279336186487,0.5206075,0.08143415,0.0073954538,2680.2968980789765,3682.4153763051218,0.0568707345545977,16.916997763252887,9.048889
mixed12 (20).wav,mixed,-184.49644,175.19832,-5.558091,21.671774,8.956904,1070.2776,16.298175747200993,19.590366648269715,0.42092896,0.100143455,0.001588756,1760.6712761548122,2925.81646173465,0.032922503591954026,30.954783595129417,9.927958
mixed12 (21).wav,mixed,-203.84198,138.80447,-0.6335421,18.005268,10.852869,2526.8083,15.513608148463232,18.953983493339216,0.52261204,0.08669329,0.0230043,3063.7797091752946,4047.014604971849,0.06807875359195402,16.36984179826787,8.837853
mixed12 (22).wav,mixed,-221.34451,104.97166,-12.62921,10.3917265,2.952904,3216.6877,15.666662821485875,22.452212534775185,0.46876708,0.084115714,0.05742544,4741.609534906517,4842.712779200763,0.13495644755747127,11.161297598261537,7.245557
mixed12 (23).wav,mixed,-199.69525,115.23182,-14.848853,8.990437,2.2722313,2491.646,16.093939376861464,25.3254335498363,0.45364773,0.10031127,0.043896534,4021.8024418765885,4457.881664768945,0.10265131106321838,16.59384111404914,8.205464
